CustomerID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score
5001,213,4,8562000.0,1,4,3
5002,77,4,8983000.0,3,4,3
5003,118,3,9433000.0,3,2,3
5004,196,3,20268000.0,2,3,5
5005,23,2,9105000.0,5,2,3
5006,174,1,1550000.0,2,1,1
5007,35,4,7520000.0,4,4,3
5008,15,6,22350000.0,5,5,5
5009,12,5,9334000.0,5,5,3
5010,136,1,5630000.0,2,1,2
5011,213,3,6720000.0,1,3,2
5012,109,2,6036000.0,3,2,2
5013,262,1,4155000.0,1,1,2
5014,54,6,20797000.0,4,5,5
5015,21,6,27741000.0,5,5,5
5016,171,2,2027000.0,2,2,1
5017,9,2,319000.0,5,2,1
5018,43,3,9556000.0,4,3,3
5019,218,1,1431000.0,1,1,1
5020,46,1,2115000.0,4,1,1
5021,2,4,10624000.0,5,4,4
5022,201,3,11158000.0,2,3,4
5023,114,3,17203000.0,3,3,5
5024,81,7,14171000.0,3,5,4
5025,75,4,20467000.0,3,4,5
5026,36,5,15835000.0,4,5,4
5027,233,3,7105000.0,1,3,3
5028,130,3,2097000.0,3,3,1
5029,120,3,12442000.0,3,3,4
5030,316,1,7505000.0,1,1,3
5031,308,1,3132000.0,1,1,1
5032,208,1,4230000.0,1,1,2
5033,15,3,4093000.0,5,3,2
5034,137,2,16895000.0,2,2,5
5035,53,6,22066000.0,4,5,5
5036,201,3,4935000.0,2,3,2
5037,57,3,5488000.0,4,4,2
5038,299,1,6890000.0,1,1,2
5039,124,5,11879000.0,3,5,4
5040,34,4,13712000.0,4,4,4
5041,94,2,8207000.0,3,2,3
5042,1,4,18754000.0,5,4,5
5043,265,1,1024000.0,1,1,1
5044,18,7,20631000.0,5,5,5
5045,160,3,3648000.0,2,4,1
5047,43,5,10351000.0,4,5,4
5048,189,2,11205000.0,2,2,4
5049,30,1,3914000.0,5,2,1
